AtcoCode,CommonName,Easting,Northing,Longitude,LocalityName,Latitude,ShortCommonName,Street,Status,Indicator,StopType,,
700000000047,Ashfield Girls,337961,375740,-5.8654790407,Belfast Metro Ops,54.6110138011,,,active,,BusCoachTramOnStreetPoint,,
700000000048,Black's Road (Balmoral Hotel),329522,369856,-5.9985947212,Belfast Metro Ops,54.5604213591,,,active,,BusCoachTramOnStreetPoint,,
700000000049,Blanchflower Park,338109,375959,-5.8630870972,Belfast Metro Ops,54.6129393218,,,active,,BusCoachTramOnStreetPoint,,
700000000050,Black's Road (Garnock Hill),329338,370118,-6.001322043,Belfast Metro Ops,54.562820493,,,active,,BusCoachTramOnStreetPoint,,
700000000051,Tillysburn,338183,376153,-5.86183803,Belfast Metro Ops,54.61466828,,,active,,BusCoachTramOnStreetPoint,,
700000000052,Black's Road (Brooke Drive),329159,370253,-6.0040281491,Belfast Metro Ops,54.5640781334,,,active,,BusCoachTramOnStreetPoint,,
700000000053,Knocknagoney Road,338416,376634,-5.85801335,Belfast Metro Ops,54.61891667,,,active,,BusCoachTramOnStreetPoint,,
700000000054,Black's Road (Black's Court),329046,370279,-6.0057625173,Belfast Metro Ops,54.5643403452,,,active,,BusCoachTramOnStreetPoint,,
700000000055,Knocknagoney Primary,338618,376595,-5.8549143743,Belfast Metro Ops,54.6185092589,,,active,,BusCoachTramOnStreetPoint,,
700000000056,Black's Road (Erris Grove),328779,370428,-6.0098223251,Belfast Metro Ops,54.565745951,,,active,,BusCoachTramOnStreetPoint,,
700000000057,Knocknagoney Avenue,338740,376567,-5.8529910424,Belfast Metro Ops,54.6182349032,,,active,,BusCoachTramOnStreetPoint,,
700000000058,Black's Road (Ringford Park),328748,370467,-6.0102842164,Belfast Metro Ops,54.5661039586,,,active,,BusCoachTramOnStreetPoint,,
700000000059,Knocknagoney Avenue,338781,376552,-5.8524133678,Belfast Metro Ops,54.6180785506,,,active,,BusCoachTramOnStreetPoint,,
700000000060,Black's Road (Trenchard),328876,370359,-6.0083538899,Belfast Metro Ops,54.5651018278,,,active,,BusCoachTramOnStreetPoint,,
700000000061,Knocknagoney Primary,338476,376615,-5.857101449,Belfast Metro Ops,54.6187277008,,,active,,BusCoachTramOnStreetPoint,,
700000000062,Black's Road (Brooke Drive),329348,370130,-6.0011622844,Belfast Metro Ops,54.5629256717,,,active,,BusCoachTramOnStreetPoint,,
700000000063,Knocknagoney Dale,338317,376641,-5.859548686,Belfast Metro Ops,54.6190046143,,,active,,BusCoachTramOnStreetPoint,,
700000000064,Black's Road (Balmoral Hotel),329511,369899,-5.9987457363,Belfast Metro Ops,54.5608102078,,,active,,BusCoachTramOnStreetPoint,,
700000000065,Tillysburn,338271,376587,-5.86027009,Belfast Metro Ops,54.61853816,,,active,,BusCoachTramOnStreetPoint,,
700000000066,Black's Road (M1 Onslip),329611,369738,-5.9972718005,Belfast Metro Ops,54.5593392459,,,active,,BusCoachTramOnStreetPoint,,
700000000067,Tillysburn Park,338188,376062,-5.8618158,Belfast Metro Ops,54.61385033,,,active,,BusCoachTramOnStreetPoint,,
700000000068,Upper Dunmurry Lane,328986,369045,-6.0072299078,Ulsterbus,54.5532771965,,,active,,BusCoachTramOnStreetPoint,,
700000000069,Templeton House,338130,375959,-5.86276063,Belfast Metro Ops,54.61294161,,,active,,BusCoachTramOnStreetPoint,,
700000000070,Upper Dunmurry Lane,328992,369052,-6.007134172,Ulsterbus,54.5533385133,,,active,,BusCoachTramOnStreetPoint,,
700000000071,Ashfield Girls,337972,375720,-5.8653183179,Belfast Metro Ops,54.610831265,,,active,,BusCoachTramOnStreetPoint,,
700000000072,Upper Dunmurry Lane (Glengoland),328292,370054,-6.0175094252,Belfast Metro Ops,54.5625118433,,,active,,BusCoachTramOnStreetPoint,,
700000000073,Ashfield Boys,337866,375562,-5.8670318639,Belfast Metro Ops,54.6094418363,,,active,,BusCoachTramOnStreetPoint,,
